Winner,TotalMoves,CountOfPiecesPlayer1,CountOfPiecesPlayer2,CountOfDamesPlayer1,CountOfDamesPlayer2
Player 2,53,7,-1,5,-3
Player 2,110,8,0,8,0
Player 2,95,8,0,7,-1
Player 2,63,7,-1,6,-2
Draw,62,8,0,7,-1
Draw,149,8,0,7,-1
Player 2,88,8,0,8,0
Draw,117,8,0,7,-1
Player 2,63,6,-2,5,-3
Player 2,96,8,0,8,0
Draw,91,8,0,7,-1
Draw,155,8,0,7,-1
